Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,08:39:48.993460,08:39:52.884418,1,-1.0
1,08:39:48.993460,08:39:56.504174,1,-1.0
1,08:39:48.993460,08:39:57.680887,1,-1.0
1,08:39:48.993460,08:39:59.279263,-1,-1.0
1,08:39:48.993460,08:39:59.796682,-1,-1.0
1,08:39:48.993460,08:40:00.237394,-1,-1.0
1,08:39:48.993460,08:40:00.865547,-1,-1.0
1,08:39:48.993460,08:40:05.144689,1,-1.0
1,08:39:48.993460,08:40:09.095193,-1,-1.0
1,08:39:48.993460,08:40:14.722337,-1,-1.0
1,08:39:48.993460,08:40:15.605886,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,08:40:24.089513,08:40:25.631191,1,-1.0
2,08:40:24.089513,08:40:26.525885,-1,-1.0
2,08:40:24.089513,08:40:27.231309,-1,-1.0
2,08:40:24.089513,08:40:32.787881,-1,-1.0
2,08:40:24.089513,08:40:34.012342,-1,-1.0
2,08:40:24.089513,08:40:35.096815,-1,-1.0
2,08:40:24.089513,08:40:43.309946,-1,-1.0
2,08:40:24.089513,08:40:43.897959,-1,-1.0
2,08:40:24.089513,08:40:45.108664,-1,-1.0
2,08:40:24.089513,08:40:45.896121,-1,-1.0
2,08:40:24.089513,08:40:49.036419,-1,-1.0
2,08:40:24.089513,08:40:49.741191,-1,-1.0
2,08:40:24.089513,08:40:50.625913,-1,-1.0
2,08:40:24.089513,08:40:52.784072,1,-1.0
2,08:40:24.089513,08:40:53.853218,-1,-1.0
2,08:40:24.089513,08:40:54.263131,-1,-1.0
2,08:40:24.089513,08:40:54.933950,-1,-1.0
2,08:40:24.089513,08:40:55.336747,-1,-1.0
2,08:40:24.089513,08:41:00.899503,-1,-1.0
2,08:40:24.089513,08:41:02.184067,1,-1.0
